#,X,Y,Z,q_x,q_y,q_z,q_w
2974,-4.098597265,-1.782995342,0.080014894,0.617063326,0.784772438,0.057701122,-0.005970936
2975,-4.100544975,-1.779217149,0.079993844,0.617589668,0.784364104,0.057624035,-0.005951997
2976,-4.10247395,-1.775510452,0.079972156,0.618046423,0.784015342,0.057466898,-0.006009763
2977,-4.10438436,-1.771858618,0.079955348,0.618376038,0.783770834,0.057243141,-0.006130209
2978,-4.106263669,-1.768264402,0.079956942,0.618550874,0.783650042,0.056997696,-0.006220177
2979,-4.108098951,-1.764725288,0.079986485,0.618589678,0.783637087,0.056758615,-0.006179366
2980,-4.109881799,-1.761239244,0.080046483,0.618508598,0.783717247,0.056554978,-0.005993763
2981,-4.111614456,-1.75779645,0.080131652,0.618354902,0.783851121,0.056407782,-0.005726976
2982,-4.113299727,-1.754389708,0.080237186,0.618111689,0.784052896,0.056294836,-0.005466966
2983,-4.114938499,-1.75101908,0.080358571,0.6177787,0.784325652,0.056166101,-0.005302683
2984,-4.116534072,-1.747677135,0.080492899,0.61737728,0.784651341,0.056035573,-0.005251737
2985,-4.118083971,-1.744370936,0.080637892,0.616935631,0.785006683,0.055918216,-0.005299703
2986,-4.11958511,-1.741112017,0.080798237,0.616532686,0.785327047,0.055857869,-0.005364161
2987,-4.121033808,-1.737906169,0.080986282,0.616208371,0.785582753,0.055842049,-0.00535231
2988,-4.122428431,-1.734748131,0.081199114,0.615969364,0.785771168,0.055841308,-0.005211701
2989,-4.123763596,-1.731650933,0.081425786,0.615779348,0.785922818,0.055827027,-0.004945845
2990,-4.125048617,-1.728593024,0.081655603,0.615593195,0.786078364,0.055717249,-0.004627309
2991,-4.126282837,-1.725568818,0.081883111,0.615344549,0.786291504,0.055481639,-0.004306414
2992,-4.127469351,-1.722571369,0.082097205,0.615003011,0.786586252,0.05511058,-0.004023542
2993,-4.128608735,-1.71959129,0.082302969,0.614592308,0.786936614,0.054705658,-0.003788236
2994,-4.129692687,-1.716642974,0.082511256,0.614154615,0.787304307,0.054343859,-0.00357519
2995,-4.130720415,-1.713728652,0.082724343,0.61372746,0.787656077,0.054087954,-0.003317094
2996,-4.13169074,-1.710861267,0.08293942,0.613362081,0.787951436,0.05394813,-0.003015235
2997,-4.132609024,-1.70803883,0.083145138,0.61307063,0.788185526,0.053858333,-0.002694269
2998,-4.13348408,-1.705254139,0.083331914,0.61282354,0.78838626,0.053747466,-0.002371471
2999,-4.134317029,-1.702507901,0.083503876,0.612613095,0.788561434,0.053589269,-0.002061644
3000,-4.13510852,-1.699779893,0.083654337,0.61238835,0.788748307,0.053418243,-0.001762882
3001,-4.135851175,-1.697074358,0.083791823,0.612142678,0.788948805,0.053282848,-0.001436752
3002,-4.136538206,-1.694390279,0.08391513,0.611836792,0.789191671,0.053208848,-0.001031334
3003,-4.137162633,-1.691725224,0.084032308,0.611479441,0.789467788,0.053228118,-0.000522079
3004,-4.137722937,-1.68908762,0.084136046,0.611103815,0.789752787,0.053316601,5.41E-05
3005,-4.138225163,-1.686489408,0.084224563,0.610775498,0.789999567,0.053419223,0.000600872
3006,-4.138677234,-1.683936417,0.084293053,0.610505627,0.79020394,0.053473951,0.001071561
3007,-4.139084253,-1.681428642,0.084335336,0.610329253,0.790344426,0.053401992,0.001455605
3008,-4.139449907,-1.678957472,0.084349438,0.610277784,0.790396413,0.053211389,0.00175644
3009,-4.13977223,-1.676516125,0.084341586,0.61033967,0.790367525,0.052922385,0.001970762
3010,-4.140047465,-1.674095065,0.084312545,0.610496747,0.79026688,0.05260639,0.002132497
3011,-4.140267939,-1.671687194,0.084266304,0.610710257,0.790121338,0.052308001,0.002263923
3012,-4.140437335,-1.669278366,0.084205406,0.610932793,0.789967654,0.052024881,0.002374888
3013,-4.140559772,-1.666871742,0.084125301,0.611165782,0.789804616,0.051760465,0.0024309
3014,-4.140644286,-1.664466552,0.084020847,0.611396794,0.789640344,0.05153928,0.002406364
3015,-4.140694882,-1.662058547,0.083900598,0.611652027,0.789453432,0.051380186,0.002270123
3016,-4.140710392,-1.659646028,0.08376989,0.611948318,0.789226129,0.051354216,0.002029277
3017,-4.140694118,-1.657217714,0.083634107,0.612294633,0.788950346,0.051475277,0.001711944
