#Time,X,Y,Z,q_x,q_y,q_z,q_w
1107,-5.548343051,-3.720921301,0.076556796,0.510684727,0.85880346,0.02577224,-0.031520116
1108,-5.547207826,-3.720532067,0.076257016,0.51129262,0.858426434,0.025705283,-0.031986747
1109,-5.546040407,-3.720217358,0.075965547,0.511903182,0.858045508,0.025647073,-0.032484854
1110,-5.544834569,-3.719975559,0.075690049,0.512521084,0.857657547,0.025595542,-0.033023304
1111,-5.54359222,-3.719797477,0.075431817,0.513092291,0.857294213,0.025526169,-0.03363553
1112,-5.542317548,-3.719674966,0.075181392,0.513569,0.856984614,0.025390374,-0.034345046
1113,-5.54101031,-3.719610798,0.0749523,0.513931112,0.856740227,0.025184901,-0.035166982
1114,-5.539673332,-3.719600313,0.07474142,0.514172705,0.856563522,0.024941916,-0.03610075
1115,-5.538305549,-3.719643499,0.074550785,0.514288025,0.85645814,0.024665087,-0.037133762
1116,-5.536908067,-3.719736003,0.074381938,0.514279067,0.856424407,0.024397413,-0.038197413
1117,-5.535467499,-3.719889551,0.074243484,0.514129228,0.856475502,0.024175627,-0.03919683
1118,-5.533980254,-3.720103868,0.074131988,0.513881981,0.856587325,0.024044693,-0.040066414
1119,-5.532436648,-3.720392213,0.074045828,0.513568897,0.856741094,0.024024904,-0.040798164
1120,-5.530848037,-3.720746641,0.073981635,0.513215762,0.856920506,0.024097466,-0.041426318
1121,-5.5292129,-3.72117421,0.073927999,0.512810555,0.857130567,0.02425469,-0.042002801
1122,-5.527532329,-3.721665973,0.073881547,0.51236889,0.857362315,0.02448607,-0.042525439
1123,-5.525797072,-3.722222418,0.073855523,0.51190636,0.857606907,0.024808596,-0.042974471
1124,-5.524004087,-3.722846956,0.073846632,0.511459222,0.85784233,0.025263443,-0.043333125
1125,-5.522153704,-3.723546336,0.073856578,0.511023272,0.858071816,0.02578327,-0.043625639
1126,-5.520251735,-3.724319978,0.073886979,0.510589723,0.858300445,0.026370234,-0.043853076
1127,-5.518293626,-3.725176555,0.073934126,0.510167961,0.858521815,0.027045675,-0.044016767
1128,-5.516275297,-3.726116809,0.073997381,0.509725077,0.85875746,0.0277735,-0.044097669
